horizon,store_id,model,MAE,"MAPE, %",rows,fold
1,все,baseline_week_ago,71.84722222222223,10.887204941834192,72,1
1,все,baseline_two_weeks_ago,61.291666666666664,9.19273359894077,72,1
1,все,prophet,48.02868333254715,7.660129935074675,72,1
1,все,boosting,42.82443371918049,6.603358110002255,72,1
1,1,baseline_week_ago,67.11111111111111,12.726579264070963,36,1
1,1,baseline_two_weeks_ago,54.44444444444444,10.471342614526371,36,1
1,1,prophet,45.17676958710997,8.924660578678242,36,1
1,1,boosting,35.04820750340645,6.9020392801715955,36,1
1,20,baseline_week_ago,76.58333333333333,9.04783061959742,36,1
1,20,baseline_two_weeks_ago,68.13888888888889,7.914124583355169,36,1
1,20,prophet,50.88059707798433,6.395599291471112,36,1
1,20,boosting,50.60065993495452,6.3046769398329126,36,1
2,все,baseline_week_ago,71.84722222222223,10.887204941834192,72,1
2,все,baseline_two_weeks_ago,61.291666666666664,9.19273359894077,72,1
2,все,prophet,49.048917987917406,7.840319555270381,72,1
2,все,boosting,42.35883077916201,6.603988243286612,72,1
2,1,baseline_week_ago,67.11111111111111,12.726579264070963,36,1
2,1,baseline_two_weeks_ago,54.44444444444444,10.471342614526371,36,1
2,1,prophet,46.44729466423409,9.164591730787668,36,1
2,1,boosting,36.357229613062465,7.169009524792353,36,1
2,20,baseline_week_ago,76.58333333333333,9.04783061959742,36,1
2,20,baseline_two_weeks_ago,68.13888888888889,7.914124583355169,36,1
2,20,prophet,51.65054131160072,6.516047379753095,36,1
2,20,boosting,48.36043194526155,6.038966961780876,36,1
3,все,baseline_week_ago,71.84722222222223,10.887204941834192,72,1
3,все,baseline_two_weeks_ago,61.291666666666664,9.19273359894077,72,1
3,все,prophet,49.248352731549865,7.908787509133452,72,1
3,все,boosting,45.06953843258357,6.965306540347885,72,1
3,1,baseline_week_ago,67.11111111111111,12.726579264070963,36,1
3,1,baseline_two_weeks_ago,54.44444444444444,10.471342614526371,36,1
3,1,prophet,47.38034208844844,9.344839437822309,36,1
3,1,boosting,38.903041651336395,7.647338888819233,36,1
3,20,baseline_week_ago,76.58333333333333,9.04783061959742,36,1
3,20,baseline_two_weeks_ago,68.13888888888889,7.914124583355169,36,1
3,20,prophet,51.116363374651286,6.472735580444599,36,1
3,20,boosting,51.236035213830746,6.283274191876534,36,1
4,все,baseline_week_ago,71.84722222222223,10.887204941834192,72,1
